YearMonth,Industry,Primary Use Case,Global Active Users (Millions),Average Tokens/User/Day,Productivity Gain (%)
2021-01,Software Development,Code Generation & Debugging,0.49,5248,4.9
2021-01,Marketing & Content,Copywriting & SEO,1.24,2141,9.7
2021-01,Customer Support,Automated Chatbots & Triage,0.83,3206,15.5
2021-01,Healthcare,Medical Records & Diagnostics Assistance,0.1,937,1.9
2021-01,Education,Lesson Planning & Tutoring,0.39,1594,7.6
2021-01,Finance & Legal,Document Analysis & Data Extraction,0.2,4185,5.0
2021-02,Software Development,Code Generation & Debugging,0.53,4692,9.8
2021-02,Marketing & Content,Copywriting & SEO,1.29,1869,12.9
2021-02,Customer Support,Automated Chatbots & Triage,0.81,3015,17.6
2021-02,Healthcare,Medical Records & Diagnostics Assistance,0.1,1065,4.4
2021-02,Education,Lesson Planning & Tutoring,0.41,1531,10.5
2021-02,Finance & Legal,Document Analysis & Data Extraction,0.21,4247,7.8
2021-03,Software Development,Code Generation & Debugging,0.55,5560,15.2
2021-03,Marketing & Content,Copywriting & SEO,1.36,2140,15.0
2021-03,Customer Support,Automated Chatbots & Triage,0.86,3279,20.6
2021-03,Healthcare,Medical Records & Diagnostics Assistance,0.11,935,6.4
2021-03,Education,Lesson Planning & Tutoring,0.46,1727,13.4
2021-03,Finance & Legal,Document Analysis & Data Extraction,0.21,4542,9.6
2021-04,Software Development,Code Generation & Debugging,0.6,5873,19.1
2021-04,Marketing & Content,Copywriting & SEO,1.35,2096,18.6
2021-04,Customer Support,Automated Chatbots & Triage,0.87,3510,24.4
2021-04,Healthcare,Medical Records & Diagnostics Assistance,0.11,1061,8.0
2021-04,Education,Lesson Planning & Tutoring,0.46,1685,15.8
2021-04,Finance & Legal,Document Analysis & Data Extraction,0.21,4671,11.2
2021-05,Software Development,Code Generation & Debugging,0.58,5594,21.1
2021-05,Marketing & Content,Copywriting & SEO,1.45,2256,20.9
2021-05,Customer Support,Automated Chatbots & Triage,1.0,3623,28.3
2021-05,Healthcare,Medical Records & Diagnostics Assistance,0.11,1106,10.3
2021-05,Education,Lesson Planning & Tutoring,0.49,1871,17.5
2021-05,Finance & Legal,Document Analysis & Data Extraction,0.23,4301,13.7
2021-06,Software Development,Code Generation & Debugging,0.63,6203,24.4
2021-06,Marketing & Content,Copywriting & SEO,1.5,2246,21.9
2021-06,Customer Support,Automated Chatbots & Triage,1.0,3502,30.3
2021-06,Healthcare,Medical Records & Diagnostics Assistance,0.11,1044,11.2
2021-06,Education,Lesson Planning & Tutoring,0.51,1776,18.3
2021-06,Finance & Legal,Document Analysis & Data Extraction,0.23,4895,14.5
2021-07,Software Development,Code Generation & Debugging,0.65,5542,29.3
2021-07,Marketing & Content,Copywriting & SEO,1.54,2555,23.0
2021-07,Customer Support,Automated Chatbots & Triage,1.09,3260,32.8
2021-07,Healthcare,Medical Records & Diagnostics Assistance,0.12,1083,13.0
2021-07,Education,Lesson Planning & Tutoring,0.55,2057,20.3
2021-07,Finance & Legal,Document Analysis & Data Extraction,0.23,4750,16.5
2021-08,Software Development,Code Generation & Debugging,0.67,6048,31.0
2021-08,Marketing & Content,Copywriting & SEO,1.54,2306,26.3
2021-08,Customer Support,Automated Chatbots & Triage,1.06,4018,33.8
2021-08,Healthcare,Medical Records & Diagnostics Assistance,0.12,1200,13.6
2021-08,Education,Lesson Planning & Tutoring,0.57,2275,22.1
2021-08,Finance & Legal,Document Analysis & Data Extraction,0.25,5119,17.3
2021-09,Software Development,Code Generation & Debugging,0.76,6058,33.3
2021-09,Marketing & Content,Copywriting & SEO,1.61,2545,26.2
2021-09,Customer Support,Automated Chatbots & Triage,1.12,3853,33.6
2021-09,Healthcare,Medical Records & Diagnostics Assistance,0.12,1041,14.9
2021-09,Education,Lesson Planning & Tutoring,0.65,2119,22.4
2021-09,Finance & Legal,Document Analysis & Data Extraction,0.25,5243,19.0
2021-10,Software Development,Code Generation & Debugging,0.76,6314,37.2
2021-10,Marketing & Content,Copywriting & SEO,1.66,2559,29.7
2021-10,Customer Support,Automated Chatbots & Triage,1.16,4203,36.9
2021-10,Healthcare,Medical Records & Diagnostics Assistance,0.12,1099,16.1
2021-10,Education,Lesson Planning & Tutoring,0.67,2116,23.5
2021-10,Finance & Legal,Document Analysis & Data Extraction,0.26,4474,21.0
2021-11,Software Development,Code Generation & Debugging,0.76,7359,37.2
2021-11,Marketing & Content,Copywriting & SEO,1.72,2336,28.8
2021-11,Customer Support,Automated Chatbots & Triage,1.26,3901,37.4
2021-11,Healthcare,Medical Records & Diagnostics Assistance,0.13,1171,16.7
2021-11,Education,Lesson Planning & Tutoring,0.71,2605,25.1
2021-11,Finance & Legal,Document Analysis & Data Extraction,0.28,4716,22.1
2021-12,Software Development,Code Generation & Debugging,0.8,6458,40.2
2021-12,Marketing & Content,Copywriting & SEO,1.88,2862,31.8
2021-12,Customer Support,Automated Chatbots & Triage,1.26,3900,40.4
2021-12,Healthcare,Medical Records & Diagnostics Assistance,0.13,1262,17.8
2021-12,Education,Lesson Planning & Tutoring,0.75,2281,27.1
2021-12,Finance & Legal,Document Analysis & Data Extraction,0.29,5063,23.3
2022-01,Software Development,Code Generation & Debugging,0.86,7505,40.8
2022-01,Marketing & Content,Copywriting & SEO,1.82,2608,30.5
2022-01,Customer Support,Automated Chatbots & Triage,1.3,3994,41.1
2022-01,Healthcare,Medical Records & Diagnostics Assistance,0.14,1238,17.7
2022-01,Education,Lesson Planning & Tutoring,0.74,2695,26.4
2022-01,Finance & Legal,Document Analysis & Data Extraction,0.3,5074,21.8
2022-02,Software Development,Code Generation & Debugging,0.92,7992,42.5
2022-02,Marketing & Content,Copywriting & SEO,1.94,3061,32.2
2022-02,Customer Support,Automated Chatbots & Triage,1.36,4575,42.5
2022-02,Healthcare,Medical Records & Diagnostics Assistance,0.13,1285,19.4
2022-02,Education,Lesson Planning & Tutoring,0.81,2679,27.7
2022-02,Finance & Legal,Document Analysis & Data Extraction,0.31,5363,23.1
2022-03,Software Development,Code Generation & Debugging,0.97,8370,42.6
2022-03,Marketing & Content,Copywriting & SEO,2.05,2695,34.7
2022-03,Customer Support,Automated Chatbots & Triage,1.45,4766,40.1
2022-03,Healthcare,Medical Records & Diagnostics Assistance,0.14,1245,20.4
2022-03,Education,Lesson Planning & Tutoring,0.83,2957,29.1
2022-03,Finance & Legal,Document Analysis & Data Extraction,0.33,5673,24.1
2022-04,Software Development,Code Generation & Debugging,1.0,8224,45.1
2022-04,Marketing & Content,Copywriting & SEO,2.14,3098,35.2
2022-04,Customer Support,Automated Chatbots & Triage,1.58,4413,43.2
2022-04,Healthcare,Medical Records & Diagnostics Assistance,0.14,1196,20.4
2022-04,Education,Lesson Planning & Tutoring,0.95,2970,29.1
2022-04,Finance & Legal,Document Analysis & Data Extraction,0.31,5639,25.9
2022-05,Software Development,Code Generation & Debugging,1.06,8769,46.7
2022-05,Marketing & Content,Copywriting & SEO,2.3,2728,33.6
2022-05,Customer Support,Automated Chatbots & Triage,1.63,4907,43.8
2022-05,Healthcare,Medical Records & Diagnostics Assistance,0.15,1262,20.2
2022-05,Education,Lesson Planning & Tutoring,0.96,3149,31.4
2022-05,Finance & Legal,Document Analysis & Data Extraction,0.32,6300,26.4
2022-06,Software Development,Code Generation & Debugging,1.16,9171,45.6
2022-06,Marketing & Content,Copywriting & SEO,2.18,3363,35.2
