User_ID,Industry,Job_Role,Location,Experience_Years,Primary_AI_Tool,Daily_Token_Usage,Tasks_Automated_Per_Week,Productivity_Gain_Percent,Adoption_Date
USR-690F519F,Software Development,Software Engineer,Europe,13,ChatGPT (OpenAI),10640,2,19.3,2023-02-28
USR-72A07ABB,Software Development,Software Engineer,North America,9,Claude (Anthropic),8535,1,5.0,2023-08-17
USR-CBCEAA19,Finance,Accountant,Asia-Pacific,21,Claude (Anthropic),9585,1,13.4,2023-11-02
USR-03B7DC34,Healthcare,Clinical Admin,North America,20,Perplexity,7094,2,9.9,2025-06-06
USR-CA8308D1,Marketing,Social Media Manager,Asia-Pacific,14,ChatGPT (OpenAI),9277,1,12.8,2023-04-03
USR-E5A5647E,Marketing,SEO Specialist,Asia-Pacific,20,ChatGPT (OpenAI),11222,1,9.6,2023-05-05
USR-4E27E376,Software Development,DevOps Engineer,North America,9,Gemini (Google),4569,2,6.6,2024-08-18
USR-E894E038,Education,Professor,North America,10,Gemini (Google),14112,1,9.6,2025-06-28
USR-17862F77,Software Development,DevOps Engineer,North America,2,GitHub Copilot,33407,3,26.6,2022-02-07
USR-E09C0EC6,Education,Professor,Asia-Pacific,3,Gemini (Google),5190,1,8.8,2023-11-10
USR-09B03EE3,Creative & Design,Graphic Designer,Europe,16,Midjourney,2989,1,3.5,2024-09-24
USR-DAC20644,Marketing,SEO Specialist,North America,23,Gemini (Google),15197,3,25.3,2024-02-14
USR-F9F35CF5,Marketing,Marketing Analyst,North America,17,Claude (Anthropic),1164,2,2.4,2023-06-14
USR-1E6A2D7E,Creative & Design,Video Editor,Latin America,2,Midjourney,1409,2,0.9,2023-01-29
USR-F1A3CC7B,Creative & Design,Video Editor,Europe,19,Midjourney,530,1,0.5,2023-07-21
USR-515129CF,Education,Teacher,Asia-Pacific,18,ChatGPT (OpenAI),10539,2,18.6,2024-11-08
USR-F53247C0,Education,Teacher,North America,15,Perplexity,1569,2,2.1,2026-06-15
USR-091738CC,Healthcare,Medical Researcher,Middle East & Africa,22,ChatGPT (OpenAI),1362,1,2.9,2023-06-07
USR-E1DF1EB9,Software Development,DevOps Engineer,North America,16,Claude (Anthropic),15794,3,23.3,2024-03-12
USR-C17DC6CB,Education,Student,Asia-Pacific,11,ChatGPT (OpenAI),2429,3,2.2,2023-04-29
USR-A9202002,Creative & Design,UI/UX Designer,North America,9,Midjourney,1229,2,1.7,2024-09-16
USR-2399CB3B,Creative & Design,Video Editor,North America,4,ChatGPT (OpenAI),4540,1,5.4,2024-12-24
USR-5CE66732,Creative & Design,Illustrator,North America,12,Midjourney,2965,1,4.3,2025-09-06
USR-01236E05,Creative & Design,Video Editor,North America,8,Midjourney,677,2,0.5,2023-03-27
USR-791497F6,Marketing,Marketing Analyst,Asia-Pacific,15,ChatGPT (OpenAI),15354,1,9.4,2023-12-13
USR-59F64AD3,Creative & Design,Video Editor,Europe,24,Gemini (Google),10113,2,16.8,2024-11-03
USR-101B69EC,Finance,Accountant,Asia-Pacific,5,Midjourney,2112,3,3.2,2023-01-31
USR-9FD29E2C,Creative & Design,Graphic Designer,North America,23,ChatGPT (OpenAI),10508,1,16.9,2024-08-19
USR-5BF299B4,Education,Professor,Europe,19,Claude (Anthropic),2092,1,1.4,2025-11-27
USR-B4672D67,Creative & Design,Illustrator,North America,17,Midjourney,2895,3,2.8,2023-05-15
USR-5A873147,Software Development,DevOps Engineer,Middle East & Africa,22,Claude (Anthropic),8755,2,5.2,2024-10-10
USR-61848E34,Finance,Investment Banker,Asia-Pacific,25,ChatGPT (OpenAI),8952,2,10.6,2023-10-22
USR-4CB6FBAD,Education,Instructional Designer,Europe,8,Gemini (Google),4939,3,5.3,2021-03-04
USR-43E300C6,Education,Student,Europe,25,ChatGPT (OpenAI),13042,2,7.9,2024-02-03
USR-C9397CDF,Finance,Accountant,Europe,21,ChatGPT (OpenAI),4428,3,3.4,2024-06-18
USR-C1DF27EC,Creative & Design,Illustrator,Asia-Pacific,19,Midjourney,2642,2,4.1,2023-08-27
USR-27C96962,Marketing,Content Writer,Asia-Pacific,15,Perplexity,8138,3,5.1,2023-03-04
USR-4FE16ED5,Finance,Investment Banker,Middle East & Africa,8,ChatGPT (OpenAI),14956,2,20.4,2024-12-25
USR-6ECD8A38,Marketing,Marketing Analyst,North America,10,ChatGPT (OpenAI),1868,2,2.4,2023-12-05
USR-AFA5E9B5,Creative & Design,UI/UX Designer,North America,22,Midjourney,2228,3,2.3,2024-11-06
USR-162E0507,Healthcare,Medical Researcher,North America,6,ChatGPT (OpenAI),10948,1,15.6,2023-10-30
USR-1A6606CF,Software Development,Data Scientist,Asia-Pacific,16,ChatGPT (OpenAI),6697,1,10.5,2023-06-23
USR-2B3CA403,Marketing,Content Writer,Europe,24,Midjourney,1905,1,1.6,2023-03-21
USR-BE24EB65,Healthcare,Clinical Admin,Middle East & Africa,3,ChatGPT (OpenAI),2108,2,1.9,2024-06-16
USR-932E7750,Creative & Design,UI/UX Designer,Asia-Pacific,20,Midjourney,941,3,1.8,2024-10-26
USR-E9F7148D,Creative & Design,Illustrator,North America,9,ChatGPT (OpenAI),11725,1,22.4,2023-07-28
USR-CAE75DA3,Marketing,Social Media Manager,Asia-Pacific,4,Claude (Anthropic),8502,2,6.4,2023-06-26
USR-3BA46464,Software Development,QA Tester,Asia-Pacific,3,GitHub Copilot,16972,2,14.8,2023-11-19
USR-CCFB76A5,Education,Teacher,Europe,12,ChatGPT (OpenAI),11263,1,10.5,2024-12-06
USR-9CD4F234,Education,Teacher,Europe,7,Perplexity,3720,1,5.7,2023-11-04
USR-B0E90F4A,Finance,Accountant,North America,18,ChatGPT (OpenAI),11493,1,13.1,2024-03-20
USR-2F3D0201,Creative & Design,Graphic Designer,Europe,5,Midjourney,3139,1,3.7,2026-06-12
USR-88C8B992,Finance,Accountant,Europe,13,Claude (Anthropic),12374,1,8.2,2023-11-18
USR-0B4680F4,Marketing,SEO Specialist,North America,17,Perplexity,13258,2,20.7,2024-09-12
USR-878BDC83,Creative & Design,Graphic Designer,Asia-Pacific,3,ChatGPT (OpenAI),6156,1,6.3,2023-04-30
USR-FB99AEDD,Healthcare,Healthcare Analyst,Middle East & Africa,19,Gemini (Google),6846,1,5.9,2023-02-16
USR-D37DB4E0,Creative & Design,UI/UX Designer,Europe,15,Midjourney,2263,1,1.4,2023-09-28
USR-16E70B29,Healthcare,Medical Researcher,North America,7,Gemini (Google),16524,1,13.3,2024-03-17
USR-647DCAB2,Creative & Design,Illustrator,North America,1,Midjourney,2383,1,2.7,2023-03-06
USR-493E1FEC,Finance,Accountant,North America,4,Perplexity,5546,1,5.4,2024-01-10
USR-3326E05D,Creative & Design,Graphic Designer,Europe,23,ChatGPT (OpenAI),7858,1,11.5,2025-01-13
USR-00492AE5,Education,Student,Europe,25,ChatGPT (OpenAI),10746,3,21.7,2024-07-26
USR-4DE49028,Software Development,Software Engineer,Middle East & Africa,25,ChatGPT (OpenAI),8034,2,15.7,2024-07-20
USR-F9F856D3,Software Development,DevOps Engineer,Asia-Pacific,21,ChatGPT (OpenAI),9494,1,15.7,2023-05-03
USR-3A7D4EBF,Software Development,QA Tester,North America,3,GitHub Copilot,12736,2,16.7,2024-09-30
USR-077E11FF,Healthcare,Healthcare Analyst,Asia-Pacific,15,ChatGPT (OpenAI),4296,2,9.3,2025-02-18
USR-8A8B5AB0,Healthcare,Medical Researcher,North America,14,ChatGPT (OpenAI),6261,1,10.3,2024-05-01
USR-AA7BC76A,Education,Teacher,Middle East & Africa,5,Perplexity,6906,2,6.7,2026-02-14
USR-3810CF53,Finance,Financial Analyst,Asia-Pacific,7,ChatGPT (OpenAI),16870,1,14.3,2021-04-13
USR-0B942E9F,Healthcare,Healthcare Analyst,Latin America,5,ChatGPT (OpenAI),4804,3,7.7,2023-11-18
USR-1554796D,Finance,Investment Banker,Middle East & Africa,11,Perplexity,10439,1,16.4,2024-03-07
USR-36CE1A60,Marketing,Content Writer,North America,14,Midjourney,1054,1,0.5,2021-11-18
USR-46C5F15B,Marketing,Content Writer,North America,23,Claude (Anthropic),7830,1,12.9,2023-10-12
USR-9ED966A7,Finance,Accountant,Asia-Pacific,21,Gemini (Google),8583,1,7.9,2026-04-07
USR-5A04F2F2,Finance,Financial Analyst,Asia-Pacific,8,Perplexity,12844,2,25.8,2024-04-10
USR-CBA89917,Software Development,Data Scientist,Middle East & Africa,3,Claude (Anthropic),11274,2,18.3,2024-08-30
USR-CD6C16EE,Education,Professor,North America,2,ChatGPT (OpenAI),2675,3,3.2,2024-12-07
USR-A745ACD2,Healthcare,Medical Researcher,North America,20,Gemini (Google),9969,1,4.3,2024-07-27
USR-B5A5D797,Creative & Design,Illustrator,Europe,23,Midjourney,860,3,1.1,2024-09-12
USR-B5614E2E,Software Development,QA Tester,Asia-Pacific,20,GitHub Copilot,25332,4,45.7,2023-04-21
USR-4A4F66A3,Marketing,Marketing Analyst,North America,17,Gemini (Google),2966,2,2.1,2024-05-04
USR-2DAD3A02,Marketing,Marketing Analyst,Asia-Pacific,3,ChatGPT (OpenAI),3971,3,6.6,2023-01-29
USR-4B865BE9,Education,Teacher,North America,1,Perplexity,2775,3,3.0,2024-03-15
